"Id","sleepday","totalsleeprecords","totalminutesasleep","totaltimeinbed","default_date","dow_number","day_of_week","part_of_week","minutes_awake"
1503960366,"2016-04-12 00:00:00",1,327,346,"2016-04-12",2,"Tuesday","Weekday",19
1503960366,"2016-04-13 00:00:00",2,384,407,"2016-04-13",3,"Wednesday","Weekday",23
1503960366,"2016-04-15 00:00:00",1,412,442,"2016-04-15",5,"Friday","Weekday",30
1503960366,"2016-04-16 00:00:00",2,340,367,"2016-04-16",6,"Saturday","Weekend",27
1503960366,"2016-04-17 00:00:00",1,700,712,"2016-04-17",0,"Sunday","Weekend",12
1503960366,"2016-04-19 00:00:00",1,304,320,"2016-04-19",2,"Tuesday","Weekday",16
1503960366,"2016-04-20 00:00:00",1,360,377,"2016-04-20",3,"Wednesday","Weekday",17
1503960366,"2016-04-21 00:00:00",1,325,364,"2016-04-21",4,"Thursday","Weekday",39
1503960366,"2016-04-23 00:00:00",1,361,384,"2016-04-23",6,"Saturday","Weekend",23
1503960366,"2016-04-24 00:00:00",1,430,449,"2016-04-24",0,"Sunday","Weekend",19
1503960366,"2016-04-25 00:00:00",1,277,323,"2016-04-25",1,"Monday","Weekday",46
1503960366,"2016-04-26 00:00:00",1,245,274,"2016-04-26",2,"Tuesday","Weekday",29
1503960366,"2016-04-28 00:00:00",1,366,393,"2016-04-28",4,"Thursday","Weekday",27
1503960366,"2016-04-29 00:00:00",1,341,354,"2016-04-29",5,"Friday","Weekday",13
1503960366,"2016-04-30 00:00:00",1,404,425,"2016-04-30",6,"Saturday","Weekend",21
1503960366,"2016-05-01 00:00:00",1,369,396,"2016-05-01",0,"Sunday","Weekend",27
1503960366,"2016-05-02 00:00:00",1,277,309,"2016-05-02",1,"Monday","Weekday",32
1503960366,"2016-05-03 00:00:00",1,273,296,"2016-05-03",2,"Tuesday","Weekday",23
1503960366,"2016-05-05 00:00:00",1,247,264,"2016-05-05",4,"Thursday","Weekday",17
1503960366,"2016-05-06 00:00:00",1,334,367,"2016-05-06",5,"Friday","Weekday",33
1503960366,"2016-05-07 00:00:00",1,331,349,"2016-05-07",6,"Saturday","Weekend",18
1503960366,"2016-05-08 00:00:00",1,594,611,"2016-05-08",0,"Sunday","Weekend",17
1503960366,"2016-05-09 00:00:00",1,338,342,"2016-05-09",1,"Monday","Weekday",4
1503960366,"2016-05-10 00:00:00",1,383,403,"2016-05-10",2,"Tuesday","Weekday",20
1503960366,"2016-05-11 00:00:00",1,285,306,"2016-05-11",3,"Wednesday","Weekday",21
1644430081,"2016-04-29 00:00:00",1,119,127,"2016-04-29",5,"Friday","Weekday",8
1644430081,"2016-04-30 00:00:00",1,124,142,"2016-04-30",6,"Saturday","Weekend",18
1644430081,"2016-05-02 00:00:00",1,796,961,"2016-05-02",1,"Monday","Weekday",165
1644430081,"2016-05-08 00:00:00",1,137,154,"2016-05-08",0,"Sunday","Weekend",17
1844505072,"2016-04-15 00:00:00",1,644,961,"2016-04-15",5,"Friday","Weekday",317
1844505072,"2016-04-30 00:00:00",1,722,961,"2016-04-30",6,"Saturday","Weekend",239
1844505072,"2016-05-01 00:00:00",1,590,961,"2016-05-01",0,"Sunday","Weekend",371
1927972279,"2016-04-12 00:00:00",3,750,775,"2016-04-12",2,"Tuesday","Weekday",25
1927972279,"2016-04-13 00:00:00",1,398,422,"2016-04-13",3,"Wednesday","Weekday",24
1927972279,"2016-04-15 00:00:00",2,475,499,"2016-04-15",5,"Friday","Weekday",24
1927972279,"2016-04-26 00:00:00",1,296,315,"2016-04-26",2,"Tuesday","Weekday",19
1927972279,"2016-04-28 00:00:00",1,166,178,"2016-04-28",4,"Thursday","Weekday",12
2026352035,"2016-04-12 00:00:00",1,503,546,"2016-04-12",2,"Tuesday","Weekday",43
2026352035,"2016-04-13 00:00:00",1,531,565,"2016-04-13",3,"Wednesday","Weekday",34
2026352035,"2016-04-14 00:00:00",1,545,568,"2016-04-14",4,"Thursday","Weekday",23
2026352035,"2016-04-15 00:00:00",1,523,573,"2016-04-15",5,"Friday","Weekday",50
2026352035,"2016-04-16 00:00:00",1,524,567,"2016-04-16",6,"Saturday","Weekend",43
2026352035,"2016-04-17 00:00:00",1,437,498,"2016-04-17",0,"Sunday","Weekend",61
2026352035,"2016-04-19 00:00:00",1,498,540,"2016-04-19",2,"Tuesday","Weekday",42
2026352035,"2016-04-20 00:00:00",1,461,510,"2016-04-20",3,"Wednesday","Weekday",49
2026352035,"2016-04-21 00:00:00",1,477,514,"2016-04-21",4,"Thursday","Weekday",37
2026352035,"2016-04-22 00:00:00",1,520,545,"2016-04-22",5,"Friday","Weekday",25
2026352035,"2016-04-23 00:00:00",1,522,554,"2016-04-23",6,"Saturday","Weekend",32
2026352035,"2016-04-24 00:00:00",1,555,591,"2016-04-24",0,"Sunday","Weekend",36
2026352035,"2016-04-25 00:00:00",1,506,531,"2016-04-25",1,"Monday","Weekday",25
2026352035,"2016-04-27 00:00:00",1,508,545,"2016-04-27",3,"Wednesday","Weekday",37
2026352035,"2016-04-28 00:00:00",1,513,545,"2016-04-28",4,"Thursday","Weekday",32
2026352035,"2016-04-29 00:00:00",1,490,510,"2016-04-29",5,"Friday","Weekday",20
2026352035,"2016-04-30 00:00:00",1,573,607,"2016-04-30",6,"Saturday","Weekend",34
2026352035,"2016-05-01 00:00:00",1,527,546,"2016-05-01",0,"Sunday","Weekend",19
2026352035,"2016-05-02 00:00:00",1,511,543,"2016-05-02",1,"Monday","Weekday",32
2026352035,"2016-05-04 00:00:00",1,538,560,"2016-05-04",3,"Wednesday","Weekday",22
2026352035,"2016-05-05 00:00:00",1,468,485,"2016-05-05",4,"Thursday","Weekday",17
2026352035,"2016-05-06 00:00:00",1,524,548,"2016-05-06",5,"Friday","Weekday",24
2026352035,"2016-05-07 00:00:00",1,511,521,"2016-05-07",6,"Saturday","Weekend",10
2026352035,"2016-05-08 00:00:00",1,541,568,"2016-05-08",0,"Sunday","Weekend",27
2026352035,"2016-05-09 00:00:00",1,531,556,"2016-05-09",1,"Monday","Weekday",25
2026352035,"2016-05-10 00:00:00",1,357,380,"2016-05-10",2,"Tuesday","Weekday",23
2026352035,"2016-05-11 00:00:00",1,523,553,"2016-05-11",3,"Wednesday","Weekday",30
2026352035,"2016-05-12 00:00:00",1,456,485,"2016-05-12",4,"Thursday","Weekday",29
2320127002,"2016-04-23 00:00:00",1,61,69,"2016-04-23",6,"Saturday","Weekend",8
2347167796,"2016-04-13 00:00:00",1,467,531,"2016-04-13",3,"Wednesday","Weekday",64
2347167796,"2016-04-14 00:00:00",1,445,489,"2016-04-14",4,"Thursday","Weekday",44
2347167796,"2016-04-15 00:00:00",1,452,504,"2016-04-15",5,"Friday","Weekday",52
2347167796,"2016-04-17 00:00:00",1,556,602,"2016-04-17",0,"Sunday","Weekend",46
2347167796,"2016-04-18 00:00:00",1,500,557,"2016-04-18",1,"Monday","Weekday",57
2347167796,"2016-04-19 00:00:00",1,465,514,"2016-04-19",2,"Tuesday","Weekday",49
2347167796,"2016-04-21 00:00:00",1,460,484,"2016-04-21",4,"Thursday","Weekday",24
2347167796,"2016-04-22 00:00:00",1,405,461,"2016-04-22",5,"Friday","Weekday",56
2347167796,"2016-04-23 00:00:00",1,374,386,"2016-04-23",6,"Saturday","Weekend",12
2347167796,"2016-04-24 00:00:00",1,442,459,"2016-04-24",0,"Sunday","Weekend",17
2347167796,"2016-04-25 00:00:00",1,433,471,"2016-04-25",1,"Monday","Weekday",38
2347167796,"2016-04-26 00:00:00",1,436,490,"2016-04-26",2,"Tuesday","Weekday",54
2347167796,"2016-04-27 00:00:00",1,448,499,"2016-04-27",3,"Wednesday","Weekday",51
2347167796,"2016-04-28 00:00:00",1,408,450,"2016-04-28",4,"Thursday","Weekday",42
2347167796,"2016-04-29 00:00:00",1,411,473,"2016-04-29",5,"Friday","Weekday",62
3977333714,"2016-04-12 00:00:00",1,274,469,"2016-04-12",2,"Tuesday","Weekday",195
3977333714,"2016-04-13 00:00:00",2,295,456,"2016-04-13",3,"Wednesday","Weekday",161
3977333714,"2016-04-14 00:00:00",1,291,397,"2016-04-14",4,"Thursday","Weekday",106
3977333714,"2016-04-15 00:00:00",1,424,556,"2016-04-15",5,"Friday","Weekday",132
3977333714,"2016-04-16 00:00:00",1,283,510,"2016-04-16",6,"Saturday","Weekend",227
3977333714,"2016-04-17 00:00:00",1,381,566,"2016-04-17",0,"Sunday","Weekend",185
3977333714,"2016-04-18 00:00:00",2,412,522,"2016-04-18",1,"Monday","Weekday",110
3977333714,"2016-04-19 00:00:00",1,219,395,"2016-04-19",2,"Tuesday","Weekday",176
3977333714,"2016-04-20 00:00:00",2,152,305,"2016-04-20",3,"Wednesday","Weekday",153
3977333714,"2016-04-21 00:00:00",1,332,512,"2016-04-21",4,"Thursday","Weekday",180
3977333714,"2016-04-22 00:00:00",1,355,476,"2016-04-22",5,"Friday","Weekday",121
3977333714,"2016-04-23 00:00:00",1,235,372,"2016-04-23",6,"Saturday","Weekend",137
3977333714,"2016-04-24 00:00:00",1,310,526,"2016-04-24",0,"Sunday","Weekend",216
3977333714,"2016-04-25 00:00:00",1,262,467,"2016-04-25",1,"Monday","Weekday",205
3977333714,"2016-04-26 00:00:00",1,250,371,"2016-04-26",2,"Tuesday","Weekday",121
3977333714,"2016-04-27 00:00:00",1,349,540,"2016-04-27",3,"Wednesday","Weekday",191
3977333714,"2016-04-28 00:00:00",1,261,423,"2016-04-28",4,"Thursday","Weekday",162
3977333714,"2016-04-29 00:00:00",1,333,478,"2016-04-29",5,"Friday","Weekday",145
3977333714,"2016-04-30 00:00:00",1,237,382,"2016-04-30",6,"Saturday","Weekend",145
3977333714,"2016-05-01 00:00:00",1,383,626,"2016-05-01",0,"Sunday","Weekend",243
3977333714,"2016-05-02 00:00:00",1,230,384,"2016-05-02",1,"Monday","Weekday",154
3977333714,"2016-05-03 00:00:00",1,292,500,"2016-05-03",2,"Tuesday","Weekday",208
3977333714,"2016-05-04 00:00:00",1,213,336,"2016-05-04",3,"Wednesday","Weekday",123
3977333714,"2016-05-05 00:00:00",1,318,480,"2016-05-05",4,"Thursday","Weekday",162
3977333714,"2016-05-06 00:00:00",1,323,512,"2016-05-06",5,"Friday","Weekday",189
3977333714,"2016-05-07 00:00:00",1,237,443,"2016-05-07",6,"Saturday","Weekend",206
3977333714,"2016-05-08 00:00:00",2,259,456,"2016-05-08",0,"Sunday","Weekend",197
3977333714,"2016-05-10 00:00:00",1,312,452,"2016-05-10",2,"Tuesday","Weekday",140
4020332650,"2016-04-12 00:00:00",1,501,541,"2016-04-12",2,"Tuesday","Weekday",40
4020332650,"2016-04-16 00:00:00",1,77,77,"2016-04-16",6,"Saturday","Weekend",0
4020332650,"2016-05-03 00:00:00",1,322,332,"2016-05-03",2,"Tuesday","Weekday",10
4020332650,"2016-05-04 00:00:00",1,478,536,"2016-05-04",3,"Wednesday","Weekday",58
4020332650,"2016-05-05 00:00:00",1,226,248,"2016-05-05",4,"Thursday","Weekday",22
4020332650,"2016-05-06 00:00:00",1,385,408,"2016-05-06",5,"Friday","Weekday",23
4020332650,"2016-05-08 00:00:00",1,364,402,"2016-05-08",0,"Sunday","Weekend",38
4020332650,"2016-05-10 00:00:00",1,442,494,"2016-05-10",2,"Tuesday","Weekday",52
4319703577,"2016-04-14 00:00:00",1,535,557,"2016-04-14",4,"Thursday","Weekday",22
4319703577,"2016-04-15 00:00:00",1,465,491,"2016-04-15",5,"Friday","Weekday",26
4319703577,"2016-04-16 00:00:00",1,506,522,"2016-04-16",6,"Saturday","Weekend",16
4319703577,"2016-04-18 00:00:00",1,515,551,"2016-04-18",1,"Monday","Weekday",36
4319703577,"2016-04-19 00:00:00",2,461,498,"2016-04-19",2,"Tuesday","Weekday",37
4319703577,"2016-04-20 00:00:00",1,523,543,"2016-04-20",3,"Wednesday","Weekday",20
4319703577,"2016-04-21 00:00:00",1,59,65,"2016-04-21",4,"Thursday","Weekday",6
4319703577,"2016-04-22 00:00:00",1,533,550,"2016-04-22",5,"Friday","Weekday",17
4319703577,"2016-04-23 00:00:00",1,692,722,"2016-04-23",6,"Saturday","Weekend",30
4319703577,"2016-04-24 00:00:00",1,467,501,"2016-04-24",0,"Sunday","Weekend",34
4319703577,"2016-04-25 00:00:00",1,488,506,"2016-04-25",1,"Monday","Weekday",18
4319703577,"2016-04-26 00:00:00",1,505,516,"2016-04-26",2,"Tuesday","Weekday",11
4319703577,"2016-04-27 00:00:00",1,286,307,"2016-04-27",3,"Wednesday","Weekday",21
4319703577,"2016-04-28 00:00:00",1,497,522,"2016-04-28",4,"Thursday","Weekday",25
4319703577,"2016-04-29 00:00:00",1,523,546,"2016-04-29",5,"Friday","Weekday",23
4319703577,"2016-04-30 00:00:00",1,490,516,"2016-04-30",6,"Saturday","Weekend",26
4319703577,"2016-05-01 00:00:00",1,484,500,"2016-05-01",0,"Sunday","Weekend",16
4319703577,"2016-05-02 00:00:00",1,478,506,"2016-05-02",1,"Monday","Weekday",28
4319703577,"2016-05-03 00:00:00",1,474,512,"2016-05-03",2,"Tuesday","Weekday",38
4319703577,"2016-05-06 00:00:00",1,450,491,"2016-05-06",5,"Friday","Weekday",41
4319703577,"2016-05-07 00:00:00",1,507,530,"2016-05-07",6,"Saturday","Weekend",23
4319703577,"2016-05-08 00:00:00",1,602,638,"2016-05-08",0,"Sunday","Weekend",36
4319703577,"2016-05-09 00:00:00",1,535,565,"2016-05-09",1,"Monday","Weekday",30
4319703577,"2016-05-10 00:00:00",1,487,517,"2016-05-10",2,"Tuesday","Weekday",30
4319703577,"2016-05-11 00:00:00",1,529,558,"2016-05-11",3,"Wednesday","Weekday",29
4319703577,"2016-05-12 00:00:00",1,302,321,"2016-05-12",4,"Thursday","Weekday",19
4388161847,"2016-04-15 00:00:00",1,499,526,"2016-04-15",5,"Friday","Weekday",27
4388161847,"2016-04-16 00:00:00",2,426,448,"2016-04-16",6,"Saturday","Weekend",22
4388161847,"2016-04-17 00:00:00",2,619,641,"2016-04-17",0,"Sunday","Weekend",22
4388161847,"2016-04-18 00:00:00",1,99,104,"2016-04-18",1,"Monday","Weekday",5
4388161847,"2016-04-19 00:00:00",1,329,338,"2016-04-19",2,"Tuesday","Weekday",9
4388161847,"2016-04-20 00:00:00",1,421,451,"2016-04-20",3,"Wednesday","Weekday",30
4388161847,"2016-04-21 00:00:00",1,442,458,"2016-04-21",4,"Thursday","Weekday",16
4388161847,"2016-04-22 00:00:00",1,82,85,"2016-04-22",5,"Friday","Weekday",3
4388161847,"2016-04-23 00:00:00",1,478,501,"2016-04-23",6,"Saturday","Weekend",23
4388161847,"2016-04-24 00:00:00",3,552,595,"2016-04-24",0,"Sunday","Weekend",43
4388161847,"2016-04-26 00:00:00",1,319,346,"2016-04-26",2,"Tuesday","Weekday",27
4388161847,"2016-04-27 00:00:00",1,439,500,"2016-04-27",3,"Wednesday","Weekday",61
4388161847,"2016-04-28 00:00:00",1,428,458,"2016-04-28",4,"Thursday","Weekday",30
4388161847,"2016-04-30 00:00:00",2,409,430,"2016-04-30",6,"Saturday","Weekend",21
4388161847,"2016-05-01 00:00:00",1,547,597,"2016-05-01",0,"Sunday","Weekend",50
4388161847,"2016-05-02 00:00:00",2,368,376,"2016-05-02",1,"Monday","Weekday",8
4388161847,"2016-05-04 00:00:00",1,390,414,"2016-05-04",3,"Wednesday","Weekday",24
4388161847,"2016-05-05 00:00:00",1,471,495,"2016-05-05",4,"Thursday","Weekday",24
4388161847,"2016-05-05 00:00:00",1,471,495,"2016-05-05",4,"Thursday","Weekday",24
4388161847,"2016-05-07 00:00:00",1,472,496,"2016-05-07",6,"Saturday","Weekend",24
4388161847,"2016-05-08 00:00:00",2,529,541,"2016-05-08",0,"Sunday","Weekend",12
4388161847,"2016-05-09 00:00:00",1,62,65,"2016-05-09",1,"Monday","Weekday",3
4388161847,"2016-05-10 00:00:00",1,354,375,"2016-05-10",2,"Tuesday","Weekday",21
4388161847,"2016-05-11 00:00:00",1,469,494,"2016-05-11",3,"Wednesday","Weekday",25
4445114986,"2016-04-12 00:00:00",2,429,457,"2016-04-12",2,"Tuesday","Weekday",28
4445114986,"2016-04-13 00:00:00",2,370,406,"2016-04-13",3,"Wednesday","Weekday",36
4445114986,"2016-04-14 00:00:00",1,441,492,"2016-04-14",4,"Thursday","Weekday",51
4445114986,"2016-04-15 00:00:00",2,337,379,"2016-04-15",5,"Friday","Weekday",42
4445114986,"2016-04-16 00:00:00",1,462,499,"2016-04-16",6,"Saturday","Weekend",37
4445114986,"2016-04-17 00:00:00",1,98,107,"2016-04-17",0,"Sunday","Weekend",9
4445114986,"2016-04-19 00:00:00",2,388,424,"2016-04-19",2,"Tuesday","Weekday",36
4445114986,"2016-04-20 00:00:00",1,439,462,"2016-04-20",3,"Wednesday","Weekday",23
4445114986,"2016-04-21 00:00:00",1,436,469,"2016-04-21",4,"Thursday","Weekday",33
4445114986,"2016-04-22 00:00:00",1,388,417,"2016-04-22",5,"Friday","Weekday",29
4445114986,"2016-04-25 00:00:00",1,328,345,"2016-04-25",1,"Monday","Weekday",17
4445114986,"2016-04-26 00:00:00",2,353,391,"2016-04-26",2,"Tuesday","Weekday",38
4445114986,"2016-04-27 00:00:00",1,332,374,"2016-04-27",3,"Wednesday","Weekday",42
4445114986,"2016-04-28 00:00:00",1,419,442,"2016-04-28",4,"Thursday","Weekday",23
4445114986,"2016-04-29 00:00:00",1,106,108,"2016-04-29",5,"Friday","Weekday",2
4445114986,"2016-04-30 00:00:00",1,322,353,"2016-04-30",6,"Saturday","Weekend",31
4445114986,"2016-05-01 00:00:00",2,439,459,"2016-05-01",0,"Sunday","Weekend",20
4445114986,"2016-05-02 00:00:00",1,502,542,"2016-05-02",1,"Monday","Weekday",40
4445114986,"2016-05-03 00:00:00",2,417,450,"2016-05-03",2,"Tuesday","Weekday",33
4445114986,"2016-05-04 00:00:00",2,337,363,"2016-05-04",3,"Wednesday","Weekday",26
4445114986,"2016-05-05 00:00:00",2,462,513,"2016-05-05",4,"Thursday","Weekday",51
4445114986,"2016-05-06 00:00:00",2,374,402,"2016-05-06",5,"Friday","Weekday",28
4445114986,"2016-05-07 00:00:00",2,401,436,"2016-05-07",6,"Saturday","Weekend",35
4445114986,"2016-05-08 00:00:00",1,361,391,"2016-05-08",0,"Sunday","Weekend",30
4445114986,"2016-05-09 00:00:00",1,457,533,"2016-05-09",1,"Monday","Weekday",76
4445114986,"2016-05-10 00:00:00",1,405,426,"2016-05-10",2,"Tuesday","Weekday",21
4445114986,"2016-05-11 00:00:00",1,499,530,"2016-05-11",3,"Wednesday","Weekday",31
4445114986,"2016-05-12 00:00:00",1,483,501,"2016-05-12",4,"Thursday","Weekday",18
4558609924,"2016-04-21 00:00:00",1,126,137,"2016-04-21",4,"Thursday","Weekday",11
4558609924,"2016-04-26 00:00:00",1,103,121,"2016-04-26",2,"Tuesday","Weekday",18
4558609924,"2016-04-29 00:00:00",1,171,179,"2016-04-29",5,"Friday","Weekday",8
4558609924,"2016-05-01 00:00:00",1,115,129,"2016-05-01",0,"Sunday","Weekend",14
4558609924,"2016-05-08 00:00:00",1,123,134,"2016-05-08",0,"Sunday","Weekend",11
4702921684,"2016-04-12 00:00:00",1,425,439,"2016-04-12",2,"Tuesday","Weekday",14
4702921684,"2016-04-13 00:00:00",2,400,430,"2016-04-13",3,"Wednesday","Weekday",30
4702921684,"2016-04-14 00:00:00",1,384,415,"2016-04-14",4,"Thursday","Weekday",31
4702921684,"2016-04-15 00:00:00",1,253,257,"2016-04-15",5,"Friday","Weekday",4
4702921684,"2016-04-16 00:00:00",2,382,406,"2016-04-16",6,"Saturday","Weekend",24
