"week_number","Id","weekly_total_steps","weekly_total_distance","weekly_veryactive_d","weekly_fairlyactive_d","weekly_lightactive_d","weekly_sedentary_d","weekly_veryactive_m","weekly_fairlyactive_m","weekly_lightactive_m","weekly_sedentary_m","weekly_calories","weekly_active_m","weekly_notactive_m"
15,1503960366,66493,43.12999963760375,13.930000305175778,4.089999973773958,25.059999942779537,0,179,107,1320,4760,10894,286,6080
15,1624580081,37332,24.310000181198117,1.02999997138977,1.51999998092651,21.72000002861022,0.01999999955296516,15,22,929,7674,8776,37,8603
15,1644430081,59052,42.930000305175795,9.349999889731409,8.3599998652935,25.16000008583068,0,120,184,1211,7125,18581,304,8336
15,1844505072,31346,20.72999978065491,0.140000000596046,0.259999990463257,20.30999970436097,0,2,8,1482,6187,11195,10,7669
15,1927972279,4177,2.900000005960464,0,0.400000005960464,2.500000029802324,0,0,9,226,6833,13102,9,7059
15,2022484408,70835,50.859999656677275,17.74000000953674,2.6000000163912778,30.54000067710877,0,213,71,1540,6816,14787,284,8356
15,2026352035,19948,12.379999756813044,0.189999997615814,0.349999994039536,11.819999814033505,0,3,8,1014,4490,8442,11,5504
15,2320127002,38433,26.16999983787536,1.16999995708466,0.310000002384186,24.68000030517578,0,13,9,1521,7097,11200,22,8618
15,2347167796,68775,46.15999984741216,9.279999773949388,11.099999934434894,25.76999998092652,0,116,196,1522,4541,13077,312,6063
15,2873212765,45015,30.39999985694886,3.219999894499784,1.5199999995529652,25.620000481605537,0.039999999105930356,49,38,2004,6549,11619,87,8553
15,3372868164,45861,31.59000039100647,2.739999979734422,1.469999976456165,27.269999980926514,0.09999999776482585,33,35,2034,6538,11726,68,8572
15,3977333714,59416,39.829999923706055,9.189999818801873,12.110000073909763,18.52999997138978,0,137,271,1039,4239,9000,408,5278
15,4020332650,12527,8.979999864473944,0.8099999874830239,0.970000013709069,7.079999782145021,0,105,54,478,7548,15638,159,8026
15,4057192912,15352,11.45000004768372,0.209999993443489,0.259999990463257,10.75,0,3,6,412,4869,7895,9,5281
15,4319703577,36604,24.579999942332506,0.639999970793725,0.9199999868869779,14.750000018626444,0,9,24,860,6102,11885,33,6962
15,4388161847,49976,38.42000007629395,0.3999999873340125,2.100000053644182,24.25999975204468,0,17,58,1122,5827,17756,75,6949
15,4445114986,23622,15.860000133514399,0,0,15.860000133514399,0,0,0,1310,4990,13011,0,6300
15,4558609924,41630,27.540000200271596,2.930000007152554,3.16999995708466,21.4299999475479,0,51,68,1598,6923,11788,119,8521
15,4702921684,52288,42.42999982833859,1.269999973475933,5.130000025033948,36.00999975204468,0,16,98,1685,4204,18447,114,5889
15,5553957443,56432,36.909999787807436,9.529999852180481,5.220000088214882,22.150000035762787,0,138,92,1332,4260,11550,230,5592
15,5577150313,60395,45.17000007629393,23.789999783039104,4.61999997496605,16.73999977111817,0,718,204,976,3858,22809,922,4834
15,6117666160,35619,26.90000009536743,0.579999983310699,1.130000025033951,25.17999982833866,0,7,21,1343,6445,12406,28,7788
15,6290855005,45028,34.05000042915344,1.13999998569489,0.790000021457672,32.04999995231629,0.059999998658895444,31,12,1723,6874,17267,43,8597
15,6775888955,17726,12.71000021696091,4.849999994039528,3.37999999523163,4.480000074952843,0,72,84,276,7101,13167,156,7377
15,6962181067,46327,30.639999628067,7.960000187158585,2.9100000262260397,19.75000023841858,0,113,54,1209,4418,11134,167,5627
15,7007744171,56176,40.19999909400937,12.06000018119812,1.280000001192093,26.86999964714051,0,143,36,1630,6749,14904,179,8379
15,7086361926,34869,23.8299996946007,9.899999916553497,1.800000026822085,12.009999999776483,0,155,85,639,6017,13681,240,6656
15,8053475328,108697,84.47999954223631,66.2700004577637,2.529999986290931,15.629999876022339,0,669,60,908,7003,19227,729,7911
15,8253242879,44452,32.53999948501587,17.389999687671658,5.179999992251391,9.979999959468842,0,151,85,660,7744,11308,236,8404
15,8378563200,61130,48.48000097274779,21.68999963998794,4.60999995470047,22.16000008583069,0,428,94,924,3993,21478,522,4917
15,8583815059,25477,19.890000104904182,0.150000005960464,1.3000000417232511,10.139999985694882,0,2,30,558,8050,15384,32,8608
15,8792009665,7830,5.009999960660938,0,0,5.009999960660938,0,0,0,420,6295,11359,0,6715
15,8877689391,117518,90.28999996185298,39.610000181943235,2.6400000117719142,47.72000026702885,0.02999999932944778,519,83,1843,6195,23306,602,8038
16,1503960366,86062,55.07000017166138,20.57000029087067,4.990000024437906,29.510000228881818,0,285,120,1543,6238,13081,405,7781
16,1624580081,43415,28.790000081062317,3.30000007152557,1.5300000309944162,23.8899998664856,0.03999999910593036,33,25,1291,8731,10601,58,10022
16,1644430081,35678,25.94000041484832,1.430000066757205,4.779999911785129,19.71000039577485,0.02999999932944774,20,106,897,9057,18110,126,9954
16,1844505072,21798,14.40999997593463,0.119999997317791,0.9999999701976781,13.289999613538383,0,2,25,895,9158,11410,27,10053
16,1927972279,5428,3.760000012815005,0.0700000002980232,0.239999994635582,3.449999950826175,0,1,6,247,9826,15217,7,10073
16,2022484408,85680,61.82999897003167,22.57999992370604,4.969999916851512,34.2699999809265,0,320,162,1830,7768,18550,482,9598
16,2026352035,34200,21.25,0,0,21.25,0,0,0,1561,5093,10528,0,6654
16,2320127002,37979,25.589999914169333,0.0599999986588955,1.549999982118606,23.930000066757213,0,1,39,1610,8361,12628,40,9971
16,2347167796,70213,46.699999809265165,6.6600000262260455,7.329999923706056,32.72000074386598,0,86,154,1991,5054,15298,240,7045
16,2873212765,57247,38.819999694824205,7.25999990850687,1.0600000061094765,30.43999969959259,0.049999998882412945,145,27,2335,7573,14070,172,9908
16,3372868164,46216,31.58000040054322,5.359999954700461,0.8199999928474423,25.289999485015873,0.07999999821186075,87,28,2170,7795,13575,115,9965
16,3977333714,76909,52.51999950408934,8.289999917149531,19.88999968767167,24.19999980926514,0,88,459,1410,5015,10947,547,6425
16,4020332650,62,0.0399999991059303,0,0,0.0399999991059303,0,0,0,2,10078,13875,0,10080
16,4319703577,37373,25.09999990463256,0.18999999761581418,2.020000025629997,20.699999779462804,0,3,51,1309,5311,13555,54,6620
16,4388161847,77416,60.18000078201296,15.279999971389763,5.140000015497202,39.750000000000014,0,222,116,1662,5548,22176,338,7210
16,4445114986,30296,20.449999570846558,2,0.28999999165535,18.13999986648561,0,25,6,1397,6880,15154,31,8277
16,4558609924,57941,38.28999972343445,3.160000015050171,3.960000053048133,31.160000324249282,0,46,75,2209,7613,14618,121,9822
16,4702921684,62976,51.09000122547152,5.130000084638602,13.499999880790702,32.430000901222236,0,62,269,1535,5617,21085,331,7152
16,5553957443,51869,33.8700002431869,8.6100002527237,4.450000047683718,20.79999983310698,0,141,86,1426,4583,12991,227,6009
16,5577150313,74201,55.459999561309836,30.930000305175767,6.66000011563301,17.539999842643752,0,715,264,1093,4674,25209,979,5767
16,6117666160,73603,55.99000096321104,3.009999990463256,0.879999995231628,44.080000162124634,0,37,29,2640,3942,19425,66,6582
16,6290855005,32522,24.599999904632558,0,0,24.559999942779537,0.039999999105930356,33,0,1410,8637,18529,33,10047
16,6775888955,21855,15.669999569654472,6.539999961853024,3.129999995231626,6.000000119209294,0,111,162,355,9452,16023,273,9807
16,6962181067,83694,57.54999995231632,17.16999989748001,10.360000073909754,29.920000076293952,0.109999999403954,237,188,1730,4558,14800,425,6288
16,7007744171,92797,65.02999877929686,19.3699997663498,8.309999883174898,37.330000400543206,0.0199999995529652,257,190,2165,7468,19343,447,9633
16,7086361926,60439,41.320000410080006,18.56999981403351,4.170000076293949,18.490000247955333,0,292,198,957,6040,18007,490,6997
16,8053475328,120037,93.27000045776364,69.4800004959106,3.3499999642372082,20.41999995708466,0,695,74,1236,7245,22179,769,8481
16,8253242879,48108,34.350000739097595,14.939999908208852,3.6099999547004717,15.77999997138977,0.00999999977648258,141,84,1075,8780,13500,225,9855
16,8378563200,72848,57.760000705718916,25.910000324249257,3.809999942779541,28.04999971389771,0,588,75,1072,5140,25965,663,6212
16,8583815059,49768,38.81000018119811,4.440000057220462,10.089999884366984,23.96999990940094,0,59,219,1252,8550,19579,278,9802
16,8792009665,13004,8.319999784231197,0.2499999962747094,1.050000000745058,7.00999999046325,0,12,83,594,8077,14250,95,8671
16,8877689391,115665,101.28000020980846,59.13999986648556,1.6000000014901152,40.260000228881836,0.06000000052154068,493,59,1619,7909,24548,552,9528
17,1503960366,96854,62.539999961853056,24.46999979019165,6.579999953508385,31.44999980926514,0,331,157,1633,5794,13644,488,7427
17,1624580081,65332,47.170000672340386,23.930000066757152,7.5400000363588315,15.669999718666073,0.05999999865889556,214,127,1156,8583,11714,341,9739
17,1644430081,53457,38.85999989509586,2.4599999785423265,8.230000074952839,28.15000009536744,0,34,190,1330,7898,20257,224,9228
17,1844505072,18418,12.190000295639049,0,0.259999990463257,11.91000008583069,0,0,7,809,7342,11194,7,8151
17,1927972279,8292,5.739999875426294,1.00999999046326,0.0299999993294477,4.699999853968622,0,14,1,369,9203,15690,15,9572
17,2022484408,80957,56.95000028610229,9.56999987363815,6.750000089406958,40.649999618530245,0,183,163,1952,7782,17745,346,9734
17,2026352035,40355,25.050000190734856,0,0,25.050000190734856,0,0,0,1941,4853,11058,0,6794
17,2320127002,16511,11.129999876022337,0.230000004172325,0.200000002980232,10.689999818801875,0,3,5,776,9296,10832,8,10072
17,2347167796,32366,21.539999989792705,3.12999999523162,0.9199999868869779,17.500000027939684,0,41,20,1032,2774,8407,61,3806
17,2873212765,50260,33.85999894142152,4.460000120103356,4.049999982118606,25.33999991416932,0.00999999977648258,108,73,1728,8171,12939,181,9899
17,3372868164,45156,30.97000002861024,4.49000000953674,0.7699999995529647,25.6399998664856,0.03999999910593032,63,19,2354,7218,13361,82,9572
17,3977333714,71169,50.03999948501588,17.54000002145767,10.739999651908875,21.730000257492065,0,192,246,1137,5218,10601,438,6355
17,4020332650,0,0,0,0,0,0,0,0,0,10080,13860,0,10080
17,4319703577,58217,39.08000022172928,2.839999973773959,5.850000023841858,30.399999678134915,0,39,140,1889,4580,15101,179,6469
17,4388161847,75709,58.24000024795533,6.169999957084661,8.96999990940094,43.0900001525879,0,94,185,1777,5580,21448,279,7357
17,4445114986,37577,25.54999995231628,5.02999997138977,0.069999998435378,20.440000057220463,0,61,2,1545,6000,15730,63,7545
17,4558609924,57831,38.240000247955315,4.489999998360865,7.179999977350241,26.54999995231628,0,80,134,1982,7455,14446,214,9437
17,4702921684,51419,41.69999933242798,3.1599999442696576,5.339999973773957,33.15000057220459,0,38,103,1486,5826,20086,141,7312
17,5553957443,63893,41.94000029563904,12.93999993801117,3.8899999856948853,25.119999647140496,0,202,73,1401,4605,13426,275,6006
17,5577150313,62019,46.47999954223633,21.23999977111816,5.730000048875814,19.49000000953675,0,759,290,1232,4826,25927,1049,6058
17,6117666160,47851,36.17000007629394,0,0.340000003576279,35.82999992370605,0,0,7,2152,5736,15598,7,7888
17,6290855005,35679,26.98000001907348,1.340000033378601,2.930000007152557,22.63000011444091,0.06999999843537806,16,98,1397,8569,18491,114,9966
17,6775888955,19258,13.97999978065491,6.449999984353781,2.310000017285347,5.030000016093256,0,89,99,288,9604,15342,188,9892
17,6962181067,72916,48.72000098228455,11.719999909400931,5.599999889731401,31.29000020027161,0.100000001490116,160,115,1924,4733,14418,275,6657
17,7007744171,91416,64.35000085830691,14.909999907016747,5.789999961853022,43.669999599456794,0,188,116,2360,7355,19116,304,9715
17,7086361926,78000,52.46000003814697,22.239999771118164,5.679999887943275,24.469999313354492,0,344,194,1315,5538,19429,538,6853
17,8053475328,81674,63.61999857425692,42.97000002861025,1.8500000052154055,18.79999983310701,0,421,42,1071,8546,19251,463,9617
17,8253242879,30601,21.790000677108768,9.739999711513516,4.43000011146068,7.580000132322309,0,98,103,486,7936,9164,201,8422
17,8378563200,74334,58.970001459121676,25.120000809431072,4.2500000596046466,29.58000016212464,0,413,81,1194,5580,26729,494,6774
17,8583815059,63415,49.469999074935956,12.970000006258488,10.32999981194735,25.569999694824222,0,154,227,1360,8339,20812,381,9699
17,8792009665,26389,16.90000009536744,0.470000013709068,0.6400000154972081,15.799999952316288,0,16,34,1262,6631,16422,50,7893
17,8877689391,111014,91.54999876022345,48.29999935626981,1.839999981224536,41.12999963760376,0.00999999977648258,464,48,1541,8027,23412,512,9568
18,1503960366,89211,57.73999929428099,20.28000020980835,6.259999871253957,31.170000314712542,0,277,145,1651,5811,13229,422,7462
18,1624580081,21176,14.05999982357024,0.860000014305115,0.589999973773956,12.5200001001358,0.04999999888241298,7,6,933,9134,9811,13,10067
18,1644430081,53163,38.67000019550324,5.389999993145469,6.000000208616256,27.24000036716463,0.05999999865889556,69,136,1409,7710,20308,205,9119
18,1844505072,8420,5.560000089928508,0,0,5.560000089928508,0,0,0,393,9687,10273,0,10080
18,1927972279,10503,7.269999921321871,1.8899999856948861,0.300000011920929,5.069999992847447,0,26,8,354,9692,15776,34,10046
18,2022484408,66452,46.86999988555908,15.379999876022339,3.3400000482797627,28.12999963760376,0,243,88,1631,8118,16824,331,9749
18,2026352035,49660,30.80999994277955,0,0,30.80999994277955,0,0,0,2349,4492,11660,0,6841
18,2320127002,34898,23.529999792575847,1.850000023841855,0.969999983906746,20.689999759197246,0,25,27,1374,8654,12232,52,10028
18,2873212765,51700,34.88000011444092,6.020000036805866,1.930000014603138,26.880000174045552,0.039999999105930356,135,52,2176,7717,13673,187,9893
18,3977333714,93538,63.759999752044706,12.219999730587018,28.789999961853024,22.58000040054321,0,137,625,1301,4906,11513,762,6207
18,4020332650,43314,31.07000026106835,3.289999902248381,2.7599999085068703,23.88999989628791,0.13000000081956387,51,99,1371,6633,21111,150,8004
18,4319703577,64129,43.42999935150145,4.40000006556511,5.01999995112419,33.83999967575072,0,52,123,2018,5198,15533,175,7216
18,4388161847,107647,84.5200014114379,30.399999976158142,11.249999776482587,42.90000057220458,0,370,260,1859,6527,26778,630,8386
18,4445114986,38135,25.95999979972838,6.9400001689791715,0.9799999892711639,17.99999999999999,0,85,24,1443,5431,15704,109,6874
18,4558609924,47536,31.42000007629395,5.019999980926508,2.280000001192093,24.119999885559082,0,124,69,1915,7838,14484,193,9753
18,4702921684,82014,66.55999946594247,2.8900000303983697,14.179999977350228,49.410000562667854,0,37,293,2277,6217,25526,330,8494
18,5553957443,58780,38.56000065803528,7.729999989271157,4.280000030994421,26.52999973297118,0,117,84,1474,5047,13138,201,6521
18,5577150313,36190,27.03999996185303,11.629999876022328,1.5399999916553502,13.8400001525879,0,245,74,810,7280,18849,319,8090
18,6117666160,35758,27.14000034332276,0,0,27.14000034332276,0,0,0,1742,6048,14635,0,7790
18,6290855005,44331,33.51999998092652,0,0,33.440000534057624,0.05999999865889548,0,0,1802,8278,18927,0,10080
18,6775888955,6673,4.789999851956963,0.599999994039535,1.1700000017881391,2.9899998996406723,0,14,40,125,7628,10894,54,7753
18,6962181067,62603,41.50999999046324,4.40000006556511,7.399999856948853,29.690000295639027,0,68,147,1947,4754,13842,215,6701
18,7007744171,54020,38.82000064849853,16.44999980926514,3.819999933242797,18.52999997138977,0,219,81,1144,5867,12781,300,7011
18,7086361926,75857,51.440000057220466,20.87000012397766,7.749999873340123,22.72000002861023,0,328,192,1085,5744,18746,520,6829
18,8053475328,102772,80.30999910831451,61.00000000000004,3.9399999678134896,15.35999989509582,0,605,88,979,8333,20658,693,9312
18,8378563200,45674,36.20999956130981,5.969999909400933,2.129999950528143,28.099999666213993,0,293,42,1181,5371,23296,335,6552
18,8583815059,57676,44.98999953269958,0.359999999403953,4.5,12.8400000333786,0,5,94,668,9313,20321,99,9981
18,8792009665,6535,4.17999994754791,0,0,4.17999994754791,0,0,0,386,8263,13131,0,8649
18,8877689391,92601,74.39999938011161,31.220000103115957,2.6799999698996553,40.07999992370605,0.00999999977648258,370,75,1482,8153,22539,445,9635
19,1503960366,36999,23.619999885559082,9.359999895095829,2.6999999284744307,11.55000019073486,0,128,65,671,3690,5461,193,4361
19,1624580081,10806,7.02999985218048,0,0,7.009999871253981,0.01999999955296516,0,0,449,4868,5082,0,5317
19,1644430081,17139,12.45999979972839,3.270000100135798,1.159999996423722,8.009999692440031,0.02999999932944774,44,25,507,3066,7083,69,3573
19,1844505072,0,0,0,0,0,0,0,0,0,5031,4706,0,5031
19,1927972279,0,0,0,0,0,0,0,0,0,5286,7572,0,5286
19,2022484408,48566,34.09999942779541,9.7999997138977,4.660000026226041,19.629999876022342,0,166,116,1028,4006,9903,282,5034
19,2026352035,28410,17.61000028252602,0,0,17.59000030159951,0,0,0,1091,2444,6072,0,3535
19,2320127002,18402,12.39999961853027,0,0,12.39999961853027,0,0,0,863,4415,6557,0,5278
19,2873212765,30007,20.190000057220452,0,0,20.1700005531311,0.01999999955296516,0,0,1305,4003,7125,0,5308
19,3977333714,28505,19.35999965667729,1.2099999859929094,11,6.989999890327448,0,13,237,356,1848,3349,250,2204
19,4020332650,14381,10.320000082254408,0.310000002384186,0.28999999910593,9.54999986290931,0.0399999991059303,5,13,534,4016,9476,18,4550
19,4319703577,29011,19.470000037923455,0.549999997019767,1.7600000202655792,17.139999637380242,0,8,44,1016,1619,7094,52,2635
19,4388161847,34087,26.21000027656555,1.6799999773502359,2.1700000166893,22.37000012397766,0,27,51,889,3351,10651,78,4240
19,4445114986,19063,12.800000190734863,2.25,1,9.549999952316295,0,34,22,787,2426,8173,56,3213
19,4558609924,33301,22.01000022888184,1.4300000071525572,4.560000061988831,16.02000021934509,0,21,79,1130,4073,7695,100,5203
19,4702921684,31407,25.479999542236328,0.8599999696016316,4.610000073909763,19.96000003814698,0,11,90,818,2472,10471,101,3290
19,5553957443,36016,23.54999995231631,6.5799999833106995,2.900000005960459,14.03999972343445,0,128,68,759,2224,7041,196,2983
19,5577150313,16328,12.25,5.81999993324279,1.190000012516975,5.2299998998641986,0,183,63,327,1995,7995,246,2322
19,6117666160,4477,3.38000011444092,0,0,3.38000011444092,0,0,0,197,125,1248,0,322
19,6290855005,6277,4.75,0,0,4.73000001907349,0.0199999995529652,0,0,264,2240,2175,0,2504
19,6962181067,38099,25.740000247955347,8.860000133514399,3.4899999499320957,13.399999856948849,0,129,70,810,2069,7249,199,2879
19,7086361926,41360,28.9799995422363,14.64000046253204,4.570000082254416,9.68999993801118,0,201,117,463,3025,9694,318,3488
19,8053475328,44482,34.04999947547908,24.24000000953674,1.4699999839067461,8.340000033378606,0,250,33,486,4461,10005,283,4947
19,8378563200,28668,22.73999977111816,3.9699999690055856,2.159999996423721,16.599999904632572,0,214,42,609,2808,13071,256,3417
19,8583815059,26818,20.91999959945679,6.820000231266027,5.420000001788139,8.62000012397767,0,80,118,449,5032,8597,198,5481
19,8792009665,0,0,0,0,0,0,0,0,0,1488,1745,0,1488
19,8877689391,60443,52.07999897003175,27.490000724792452,1.7100000157952304,22.65999984741211,0.0500000007450581,202,43,791,4215,12223,245,5006
